review_clean_final,cluster_baseline,cluster_pso_kmeans,label_otomatis,label_topik
mantap aplikasi nya sangat membantu,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
memudahkan bagi masyarakat pengguna pajak kendaraan bermotor,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
apakah tidak bisa dipermudah apabila pkb ketinggalan bisa menunjukkan pkb yg online aplikasi harusnya sih pemerintah bisa buat sistem ktp untuk semua pengurusannya baik untuk pelayanan umum dan kesehatan contohnya sim pkb dibuat simple sudahlah kita bayar mahal untuk pengurusan dan pajak tpi pengurusan masih harus ribet,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
di benahi sistem dan proses pengurusan pajak kendaraan di samsat bulukumba menunggu berjam datang baru langsung proses dan akhirnya dari berkas jam masuk sampai jam belum selesai juga,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
terhitung akhir bulan mei aplikasi ini selalu error tidak bisa melakukan pengecekan padahal sudah update yang terbaru,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
gak bisa bayar pajakada kesalahan katanya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
mantap terimah kasih bapenda sulsel memudahkan setiap orang cek pajak kendaraanya makasi,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
katanya diskon pajak tapi di cek masih harga normal,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
lumayan sih untuk up date,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
ga jelas aplikasinya masa saya masukin no plat supra x keterangannya pajaknya dan besar cc mana ada supra standar punya cc hhhhh,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mantap tingkatkan terus dan permudahkan untuk hayar pajak jangan terlalu ribet untuk persyaratan pembayaran pajaknya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bulan lalu saya cek statusnya lunas pajak pas saya cek lagi bulan ini kok statusnya berubah jadi belum lunas mohon penjelasannya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat membantu pelanggan cek pajak kendaraan karena di samsat biasa kita bayar lebih tidak sesuai dgn jumlah pajak,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
bahaya pegawai bagian pajak di bagian mobilbeda angka uangnya dia sebut klo cm seribu atau lbh tdk apa apain puluhandi bapenda ribu dia sebut bahaya bagian pajak,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi ongol mau bayar malah disurh datang ke kantor ke kantor pengurusannya lama belum lagi punglinya hadeuh,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
